,0,1,2,3,4
0,0.610418056,0.432758185,0.388135853,0.522362857,0.654596072
1,0.608538933,0.563748706,0.194864502,0.399871786,0.268779354
2,0.59175728,0.616084265,0.303487712,0.496213907,0.257389525
3,0.623290326,0.542498671,0.195010868,0.673424351,0.128185368
4,0.585092029,0.450390297,0.355553998,0.767405549,0.117297978
5,0.590182055,0.519168336,0.234185355,0.505166615,0.286826781
6,0.571124257,0.431146093,0.345946508,0.733003213,0.228034044
7,0.61342677,0.43516884,0.299733907,0.295484451,0.100794181
8,0.52285927,0.54778685,0.280132864,0.427041622,0.285714913
9,0.591578719,0.408194992,0.416150963,0.324011878,0.655800851
10,,0.493043837,0.459383318,0.295676969,0.283940387
11,,0.544716193,0.385409067,0.405320488,0.231034752
12,,0.453612442,0.40614702,0.335556083,0.249855816
13,,0.464168571,0.383338475,0.364520088,0.252474893
14,,0.383092022,0.43820642,0.344978592,0.189427227
15,,0.280441662,0.42078786,0.419473796,0.328519314
16,,0.522677503,0.520673871,0.396629152,0.235869995
17,,0.385100256,0.425819546,0.265283406,0.316154668
18,,0.608657145,0.487789383,0.413728109,0.334197496
19,,0.387013047,0.307944347,0.395146015,0.231717201
20,,0.472690732,0.432229267,0.473794553,0.165423094
21,,0.500547118,0.39125027,0.504469882,0.209517824
22,,0.355341849,0.470040121,0.208448756,0.14176635
23,,0.440116852,0.497679991,0.183298048,0.176390169
24,,0.560555734,0.500470819,0.46490581,0.24008845
25,,0.37879064,0.414729157,0.250105581,0.179041973
26,,0.283819641,0.552954855,0.262765835,0.224399311
27,,0.291474833,0.450305698,0.231343616,0.182550666
28,,0.367117999,0.331690862,0.246168722,0.176796237
29,,0.407443993,0.491391177,0.492785868,0.225363712
30,,0.411350957,,0.412791312,0.33503496
31,,0.303177337,,0.690010773,0.20684788
32,,0.31440776,,0.297335876,0.344626523
33,,0.404572345,,0.400936271,0.364757276
34,,0.370810595,,0.354206666,0.315833055
35,,0.391927525,,0.278963013,0.379911626
36,,0.452515968,,0.338383308,0.374089466
37,,0.325139605,,0.56753029,0.289065625
38,,0.449544872,,0.308710489,0.509277851
39,,0.380156413,,0.455896262,0.347577526
40,,0.602542988,,0.331871445,0.256433253
41,,0.42835983,,0.479437071,0.497982072
42,,0.448367494,,0.325102795,0.551618072
43,,0.465056503,,0.577361628,0.416881761
44,,0.433457053,,0.322846696,0.222400029
45,,0.462986597,,0.502188923,0.363137602
46,,0.384855759,,0.379903715,0.639633839
47,,0.506071296,,0.342558796,0.529885061
48,,0.484166169,,0.196823446,0.601799565
49,,0.519370527,,0.461332019,0.234031008
50,,0.330296215,,0.411890174,0.317034021
51,,0.380288485,,0.370272193,0.268750354
52,,0.353501483,,0.479751689,0.366710574
53,,0.286805783,,0.401303679,0.472547791
54,,0.335276404,,0.619625715,0.604784497
55,,0.3235113,,0.431057631,0.319327205
56,,0.453362268,,0.533741668,0.419579212
57,,0.357018498,,0.545452219,0.544011812
58,,0.375228694,,0.379665588,0.295934269
59,,0.335022785,,0.286656925,0.558325806
