,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
1,0.323267289,0.30840852,0.31349511,0.310707256,0.15627823
2,0.324483064,0.315376242,0.306711288,0.292926539,0.18437005
3,0.32356357,0.317829503,0.312234637,0.301791994,0.211046871
4,0.323844527,0.321891879,0.31732889,0.257568162,0.161556381
5,0.325116494,0.318304575,0.313855246,0.307154433,0.309879711
6,0.328905575,0.319003135,0.291967456,0.310327964,0.292305881
7,0.32343714,0.315078683,0.300292708,0.250417819,0.164841018
8,0.323211098,0.314852641,0.310831132,0.297766654,0.16608489
9,0.325329765,0.304263135,0.310239846,0.207983168,0.227622029
10,0.323898164,0.306943715,0.297138333,0.280779001,0.170723226
11,,0.308437893,0.309407193,0.277579928,0.268636572
12,,0.314154081,0.319448834,0.307100796,0.228541523
13,,0.310505478,0.310883492,0.314019988,0.178948867
14,,0.31176212,0.311126136,0.304905504,0.196080829
15,,0.311906429,0.314754306,0.307675479,0.22126858
16,,0.310840071,0.304431709,0.256776375,0.186395491
17,,0.305782854,0.311018862,0.293332649,0.153340957
18,,0.320687597,0.308556661,0.309774991,0.220305666
19,,0.315050588,0.314986734,0.317202459,0.288386538
20,,0.313954857,0.307510737,0.226076768,0.173366772
21,,0.315950926,0.31518085,0.212765814,0.205463499
22,,0.29587786,0.313579397,0.31683083,0.161330339
23,,0.284192623,0.308565601,0.264048041,0.282287227
24,,0.3182586,0.311983054,0.287731398,0.22081905
25,,0.318250938,0.318491028,0.307993471,0.283776297
26,,0.321759063,0.312307431,0.297756437,0.190314835
27,,0.317636665,0.313424871,0.288326515,0.215219076
28,,0.322518923,0.311018862,0.307033111,0.174803481
29,,0.318040221,0.312914041,0.301526363,0.159762091
30,,0.312580725,0.314246031,0.309557888,0.29713961
31,,0.321591766,,0.238671282,0.25022498
32,,0.321563671,,0.273167634,0.161429951
33,,0.298771712,,0.249139467,0.236233346
34,,0.317187134,,0.309184982,0.198354022
35,,0.323644026,,0.304696063,0.298278761
36,,0.318097689,,0.309402085,0.198802276
37,,0.31671334,,0.315649536,0.227327024
38,,0.313885895,,0.277577374,0.162299639
39,,0.319535675,,0.278152058,0.243487132
40,,0.316063308,,0.220298003,0.213108071
41,,0.317857599,,0.306517172,0.19362629
42,,0.314011049,,0.298190643,0.260940917
43,,0.309992094,,0.221269857,0.189875521
44,,0.306232385,,0.295959593,0.185308701
45,,0.320610973,,0.304931045,0.207884834
46,,0.315774689,,0.268474383,0.158527159
47,,0.307383029,,0.310732797,0.167881734
48,,0.316957261,,0.310523357,0.295768031
49,,0.297359267,,0.315657199,0.303568406
50,,0.313120927,,0.205117412,0.172774209
51,,0.311511813,,0.227477719,0.223291467
52,,0.318385031,,0.297352882,0.150728062
53,,0.312442801,,0.286794025,0.292369735
54,,0.320148672,,0.295249539,0.199466355
55,,0.321192042,,0.209843867,0.227781663
56,,0.322186883,,0.282296167,0.195244345
57,,0.315219162,,0.24449219,0.218103988
58,,0.313492556,,0.315514166,0.167010769
