,0,1,2,3,4
0,7.386367057,7.060303834,6.549033782,4.005899292,5.578884573
1,7.239555224,7.066703471,6.831132862,5.542882144,6.106619893
2,7.828325601,7.052019761,5.957892989,5.204754586,4.968532237
3,7.430262129,6.037643506,5.275536607,4.428170466,4.644364352
4,7.130666851,5.937030748,5.377185076,4.041941193,5.672456716
5,7.410161393,5.4247239,4.251243617,4.678265048,4.55132489
6,7.724088789,6.70801115,6.8334412,5.363241154,3.170055246
7,7.017594556,5.509089649,4.854828971,5.849415461,2.830221527
8,7.58299167,6.891884483,7.245855078,6.488458909,1.940257045
9,7.830393261,5.226479781,5.78229199,3.991841124,2.795361523
10,,6.031901105,5.070908365,5.886353186,3.194075853
11,,5.445695711,5.916750795,4.000472323,4.848305685
12,,5.633360499,5.266581145,5.031943395,2.753178893
13,,4.894318002,6.060276046,5.604895154,4.862442052
14,,5.568361849,5.205117434,5.23101808,4.931530198
15,,5.505095767,4.803365135,4.859126177,4.217823134
16,,4.7282997,5.681322158,4.782048794,3.109732272
17,,6.28151098,4.572726983,5.132933272,4.64427273
18,,4.617361909,4.603049032,4.57545723,4.306568488
19,,7.165803646,4.830943393,4.405642523,5.606346965
20,,5.303243895,4.109047892,5.249905721,4.725606181
21,,5.350732763,5.326580876,5.766065926,4.263660055
22,,6.307141321,5.595391535,6.074532131,4.894881031
23,,6.99463628,6.225043511,5.308136665,5.252021415
24,,5.186232548,6.026085059,3.212161297,3.045587847
25,,6.988607523,6.135203894,5.562227754,4.124759007
26,,5.177822751,4.7793605,3.483766917,4.817015898
27,,6.551218951,4.79728574,3.691965604,3.318027919
28,,6.521586986,3.969998496,5.729848928,5.067392602
29,,7.029971378,6.152882243,4.751585429,4.545412238
30,,6.591884897,,2.04959308,4.246864666
31,,6.567574125,,4.795869157,4.369725168
32,,6.718433632,,5.454239934,4.717319613
33,,5.868013824,,3.36776195,3.563417341
34,,6.381904035,,4.816749118,4.13815655
35,,5.754197405,,4.076376533,2.600102206
36,,6.60688717,,5.499682131,3.975353451
37,,6.442763592,,5.254490119,2.187063783
38,,7.473760239,,4.725317871,4.407144292
39,,5.586628766,,5.95538274,4.603068334
40,,5.452547213,,3.630932068,4.944187891
41,,7.235709055,,7.047197815,4.694275175
42,,6.137099639,,5.205037849,5.190926654
43,,5.406363657,,5.881315244,3.719585555
44,,6.930043466,,6.256514054,2.965037516
45,,5.691283312,,3.912823475,4.045495893
46,,6.541881732,,6.219795619,3.389349064
47,,5.784008412,,4.324782268,3.436919786
48,,5.914093252,,5.637737178,2.161568786
49,,4.891882684,,5.248044985,4.227911074
50,,6.376290863,,3.366965216,7.143490731
51,,6.369281853,,5.890992409,1.912594065
52,,5.544421215,,4.633412794,3.859497138
53,,6.505852377,,5.702762568,4.135963151
54,,4.80856666,,4.418528061,4.054948699
55,,6.937367229,,5.939354952,4.983908176
56,,5.038977463,,3.566240724,3.73336519
57,,6.212956536,,4.521455831,3.553355228
58,,6.751640905,,1.990826726,2.067586659
59,,7.022112899,,6.259532599,4.20936504
