,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
0,0.062162577,0.017475193,0.016845989,0.005344039,-0.126421298
1,0.893517432,-0.037168628,0.037899928,-0.068799304,-0.01452437
2,0.763915378,0.150820363,-0.002615093,-0.004973468,0.01962159
3,0.957753338,0.159285243,0.006755548,0.044052853,-0.008892667
4,0.771808196,-0.084627595,0.163279034,0.016369282,0.095648285
5,0.98842775,0.034281624,0.140732465,-0.007647026,0.23270049
6,0.767943266,0.089207186,-0.084755201,0.108251213,-0.115855596
7,0.611974615,0.134206467,-0.014281544,-0.00521592,0.103445455
8,0.917273308,0.160732512,-0.1769317,0.299765678,0.012531839
9,0.912348306,0.021566292,-0.060754938,-0.00409956,0.002784674
10,0.813437271,0.150397969,0.178953119,0.235823864,0.186721898
11,0.611974615,0.533150378,-0.032216314,0.038517443,0.238752022
12,0.971497991,-0.001444428,0.140373379,-0.006027242,0.013337279
13,0.906079592,0.02939642,2.73983E-05,-0.001013168,-0.197957567
14,0.802524185,-0.070337373,0.020260928,0.019259267,0.043125325
15,0.739848095,-0.274531198,-0.029714662,0.005093146,-0.005083492
16,0.124681286,0.664752529,0.001890923,0.05832511,0.101689658
17,0.887022612,0.020411208,-0.001738269,-0.00229597,0.004903239
18,0.785875659,-0.026376131,-0.045108617,0.006622631,0.022804082
19,0.945178566,0.164046839,-0.039996034,0.078700564,-0.000270596
20,,-0.090325236,-0.063098749,-0.09000558,-0.143867702
21,,0.324682308,-0.025618909,0.465945069,-0.117153005
22,,0.02107181,-0.055244808,0.000281303,0.091891804
23,,0.731021382,0.158075758,0.096862746,0.093325738
24,,-0.012140927,0.000820781,-0.012559328,0.012983914
25,,-0.150385374,-0.10561861,0.068523884,-0.002319443
26,,0.133743544,0.700901493,0.118691899,-0.118690725
27,,-0.121399896,0.006284807,-0.079000047,0.001163162
28,,0.071296493,0.000137715,0.004516811,-0.006708602
29,,-0.006665123,0.009358203,0.005687087,3.96115E-06
30,,0.319902407,0.01945264,0.003883006,-0.010611453
31,,0.000290301,0.056029721,-0.001761162,0.079559211
32,,0.095597242,-0.008018335,0.10904795,0.16715919
33,,0.220751775,-0.025618909,0.099809682,-0.302380416
34,,-0.019216929,-0.055244808,0.327671226,0.187937948
35,,0.176957188,0.158075758,0.000167688,-0.002723057
36,,-0.05686095,0.20442388,-0.144757497,0.015979837
37,,-0.001648909,-0.017803385,-0.08646457,0.16867698
38,,-0.074455318,0.011294824,0.109621316,-0.251560954
39,,-0.249509104,0.253987998,-0.006021719,0.030106523
40,,-0.166564136,0.071884854,-0.002612414,-0.003127586
41,,-0.019326793,0.011844682,-0.047595715,-0.054105256
42,,0.203067613,0.006461039,-0.135267999,-9.49032E-05
43,,0.143399148,0.008653018,0.141870646,-0.012255936
44,,0.07790159,0.020067906,0.049631168,0.0051166
45,,0.438611651,0.161103512,0.230440354,0.001577096
46,,-0.044264216,0.153857538,-0.138506556,0.019043564
47,,0.001133666,0.070530972,0.01650052,0.033622147
48,,0.020986788,0.238382838,0.021119557,0.003455982
49,,-0.252967763,0.085145179,-0.00467403,-0.069443671
50,,0.772355794,-0.062188907,0.110571183,0.002537612
51,,0.001102964,-0.020928126,-0.002215836,-0.002349041
52,,0.124431911,0.004343878,0.021334149,0.193718092
53,,0.95335354,0.008486416,-0.266774158,0.006356056
54,,0.010466605,-0.004183418,0.121069575,0.002509355
55,,-0.001784156,-0.030947604,0.043224724,0.004005137
56,,0.012679139,-0.006199799,0.243429133,0.008210007
57,,0.040201627,0.004257461,0.136241497,-0.150639677
58,,-0.010348003,0.010664946,0.00567671,0.142786089
59,,0.883837999,0.172758385,-0.001167514,0.003206285
60,,0.023360471,,-0.119544066,0.03291229
61,,0.172949283,,0.001575919,-0.125553037
62,,-0.005286379,,-0.002564899,0.019376506
63,,0.108536294,,-0.001168365,-0.038271247
64,,0.194801499,,-0.044168398,-0.16657793
65,,-0.007198275,,-0.018079415,0.098790439
66,,0.203067613,,-0.135267999,-9.49032E-05
67,,0.143399148,,0.141870646,-0.012255936
68,,0.07790159,,0.049631168,0.0051166
69,,0.438611651,,0.230440354,0.001577096
70,,-0.044264216,,-0.138506556,0.019043564
71,,0.001133666,,0.01650052,0.033622147
72,,0.208972823,,0.000942909,-0.003695151
73,,-0.033530009,,-0.048214915,0.003805518
74,,0.013089349,,0.005477554,0.009918331
75,,0.14525727,,0.092425405,0.121524587
76,,0.16569126,,-0.135892026,-0.171698201
77,,0.877780284,,-0.039688798,0.343386177
78,,0.008389161,,0.005482589,0.004062347
79,,-0.127858762,,-0.066713331,0.090470927
80,,0.008924673,,-0.000863125,0.012411823
81,,0.017733897,,0.017339821,-0.018990863
82,,-0.033820847,,-0.001078097,0.101977063
83,,0.216154056,,0.008396183,0.004664142
84,,0.276940079,,0.019670698,0.196212186
85,,0.114193069,,-0.002874957,0.01950079
86,,0.041568221,,0.045931036,-0.102869873
87,,-0.000809647,,-0.005367494,-0.065401365
88,,0.16174658,,0.02630694,0.146424739
89,,0.001196615,,0.043123076,0.24630764
90,,-0.014779155,,0.31232598,0.003868106
91,,0.141836353,,0.079735193,0.004480228
92,,0.419404354,,0.131548603,0.433944223
93,,0.399602627,,0.004923725,-0.118505266
94,,0.192342685,,-0.00679364,0.010902899
95,,0.21191437,,0.01103608,0.112305277
96,,0.112379109,,0.005234635,0.042123898
97,,-0.019704629,,-0.015384609,0.137217677
98,,0.137895321,,-0.047694451,-0.032666989
99,,-0.010482007,,0.015819629,-0.067001277
100,,0.000276932,,0.20864114,0.082786544
101,,0.697552731,,0.010344501,0.343044912
102,,-0.099408974,,-0.012997321,-0.000925553
